collocate,raw_frequency,MI
 alone,1,7.943015468872033
 listening,2,9.649705099850006
 mu,1,16.385485114092333
 corridor,1,10.675058096717464
 lucky,1,10.63609212818408
 flowershop,1,15.286872825424224
 eight,2,9.674962004639905
 matter,1,8.065280516513456
 passed,2,7.957560390434279
 don,2,6.762836435525992
 small,1,8.00548716185394
 precariously,4,14.999190752972444
 perched,1,11.517950663636752
 windowsill,1,12.378151928859863
 monde,1,12.624284998398771
 son,1,8.081237649013861
 ricegrower,1,16.385485114092333
 pozzi,1,13.166609289224134
 listened,1,9.334495667024289
 stepped,1,9.804845976807385
manager's ,1,16.385485114092333
 pleasethat,1,16.385485114092333
 hours,1,8.635731707817897
 entered,2,8.668578978793946
 precautions,1,11.908148299614128
 liftman,1,13.34096267636891
 reluctantly,1,11.565203548487297
 departed,1,10.19927649019184
i'll ,1,9.707142999438002
 dr,3,9.246618114146811
 constam,2,12.453659481368009
 liv,3,13.389752840538343
 proud,1,9.049851132165132
 hotel,1,9.29457529201235
 san,4,10.930163998734633
 sip,1,12.83013705260292
 mac,1,12.122805237051018
 throat,2,9.866337826151938
where's ,1,12.151378609495074
 sittingroom,1,10.3668918995961
e's ,4,13.746427784477076
 brusque,1,13.207431283744388
 hospital,1,10.574344121115633
 nevertheless,2,9.83869970333181
 troubled,1,10.015584131264108
 themselves,1,8.514555517337191
 night,1,7.385618890329698
 announce,5,11.69413723186319
 decease,1,12.83013705260292
 poor,1,7.346051694094852
 personages,2,11.81077413558895
 late,1,8.510365833052042
 evening,1,8.033874363465774
 health,2,9.386975471841733
 palace,1,9.648518156090478
 enquires,4,16.385485114092333
 carefully,1,9.674962004639905
 ladylike,1,12.453659481368009
 use,1,8.538895138801147
 approved,2,11.198099308251578
 prentiss,1,12.453659481368009
 flared,1,12.601295480174073
 allowed,1,9.251391392899468
 without,1,7.153578964201591
 english,2,8.489676737009152
 shaking,1,9.861922807942822
 head,1,7.1521120430055785
 trickled,2,13.089648248088006
 ceria,1,10.868032217627626
 may,7,6.947610842500649
 news,3,9.02792891318198
 tomorrow,3,8.771666429283705
 fibs,2,13.207431283744388
 neither,1,8.608111511434473
 letter,2,7.972098091401685
 journeyings,1,13.900578464304333
 demanded,1,10.184975940049643
 wish,1,7.9648028230569405
 grace,1,9.413816509366544
 available,1,12.39650106752806
 till,1,7.645308384163252
 search,2,9.91778638798798
 grievance,1,11.991035959419895
 found,1,7.439370738531591
 three,1,7.628015972621586
 twelve,1,9.793811382083677
 picked,2,10.158948444804869
 hesitated,1,10.032855717772767
 pretty,1,8.181086695942952
 often,1,8.207407650242727
 seeing,1,8.760377965853435
i've ,1,9.86929203804937
 dozens,1,12.39650106752806
 chatting,1,12.415193200540212
 wasting,1,11.800517635421762
 greeting,1,10.864024196230087
 e,1,10.783366293212634
 idly,3,11.821136922624497
 pageboy,1,13.552271770036118
 ready,1,8.45491925985837
 timidly,1,11.186988082826508
 considered,1,9.445262644972695
 panjandrum,1,11.852885620939078
 vouchsafed,1,11.966644506295737
 opinion,1,8.944164724374717
 less,1,8.07851924872376
 command,1,9.658053389241479
 oulsnam,1,12.801966175636224
 thank,1,9.048548200384717
 promised,1,9.44429505902396
 instant,1,9.317313113704293
 cappone,1,12.578822624322013
 human,1,8.68202606622516
 being,1,7.15045212952578
 uniform,1,11.107370454861817
 surprising,1,11.261521134689074
 sight,2,8.389841509805063
 searching,1,11.057608945302754
 restaurant,1,11.082180206033257
 someone,1,10.62029401130749
 presence,4,8.75308398749088
 urgently,2,12.624284998398771
 required,1,9.920896810402374
 related,1,10.776013318907374
 herself,1,7.273419311384492
 hour,1,8.049574019895388
 earlier,1,10.466591259819188
 start,2,9.587544701117404
 standanddeliver,1,16.385485114092333
 sort,1,8.046462108347574
 opening,2,9.570942216832375
 startled,1,9.817407202680359
 along,1,8.262223794970588
 husband,1,8.130176302306737
 anything,1,7.691485546570252
 glad,2,8.428307790632859
 charlie,1,11.722046019980267
